UNIT_COST,CONSUMER_EXTRA_BENEFIT,BALANCEDEDMODE_ATTR,DISPLAY-RANK,BENEFITS_16,RECHARGENAME_ATTR,BENEFITS_11,BENEFITS_10,BENEFITS_13,BENEFITS_12,BENEFITS_15,BENEFITS_14,UP_SELL,DATAUSAGE_ATTR,WEB-SELLABLE,ManufacturerName,READ_MORE,PROMO_ID,ITEM_ID,CONSUMER_SUB_CATEGORY,PROMOTION_TITLE_2,WEB_EXCLUSIVE_BENEFIT,CGRP_START_RANGE,RECHARGE_SUBTYPE,CONSUMER_PRODUCT_DESCRIPTION,WEB-VALIDITY,ETOPUPTYPE_ATTR,CONSUMER_PRODUCT_CATEGORY,OPEN_MARKET_FLAG,PRODUCT-SUB-CATEGORY,HOMEPAGE_DISPLAY_RANK,ONLINE_RECHARGE_FLAG,PROMOTION_TITLE,AUTO_RECHARGE_FLAG,CROSS_SELL,ETOPUP_SUBTYPE,ROAMING_TYPE,CESS,PRODUCT-NAME,IS_HARMONIZED,VOUCHER_COUNT,VOICE_LINE_2,INTENT_TYPE,APP-SELLABLE,VOICE_LINE_1,DEVICETYPE_ATTR,CONSUMER_PROMOTION,SERVICEVALIDITY_ATTR,TALKTIME_ATTR,PRODUCT-RATING,CROSS_SELL_CAPTION,APP_EXCLUSIVE_BENEFIT,TARGETED_CAMPAIGN,PRODUCT-CATEGORY,SRSUBTYPE_ATTR,RECCID_ATTR,HOMEPAGE_DISPLAY_FLAG,RECHARGEID_ATTR,STATUS,SGST,DATA_LINE_2,UP_SELL_CAPTION,COUNTRY,DATA_LINE_1,VOUCHER_AMOUNT,VOICE_PACK_TYPE,NEO_GOLD_PROD_CAT,WEB_SUB_CATEGORY_2,RETAILER_PRODUCT_DESCRIPTION,SERVICE_VALIDITY,SMS_COUNT_ATTR,WEB-EXCLUSIVE,VALIDITY_ATTR,BENEFITS_1,BENEFITS_2,NETWORKTYPE_ATTR,CHANNEL_ATTR,STATECODE_ATTR,OFFERTYPE_ATTR,BENEFITS_5,BENEFITS_6,BENEFITS_3,CGST,BENEFITS_4,RETAILER_EXTRA_BENEFIT,BENEFITS_9,SMS_LINE_1,SMS_LINE_2,BENEFITS_7,BENEFITS_8,TALKTIME_LINE_1,TALKTIME_LINE_2,NEO-SELLABLE,TOPFIVE_ATTR,RETAILER_PROMOTION,GST,COMBO_TYPE_ATTR,VOUCHER_ENABLED,PRODUCT-MKT-DESC,ACCESSFEE_ATTR,validity_days,cost_per_day
78,,FALSE,2,,Unlimited Callertunes,,,,,,,,,1,ETOPUP,Callertunes With Unlimited Song Change on Vi App at Rs. 78 for 89 days. Benefits will be active within 2 hours post recharge.,,MH_0014_78_MH_0014_78,Voice,,,78,,Callertunes With Unlimited Song Change on Vi App at Rs. 78 for 89 days. Benefits will be active within 2 hours post recharge.,89 Days,,Others,Y,,,Y,,0,,,,,VAS,Y,,,,1,Caller Tunes,,,0,0,,,,N#N,Voice,,,Y,MH_0014_78,SUCCESS,,,,,,,,,,Callertunes With Unlimited Song Change on Vi App at Rs. 78 for 89 days,N,,,89,,,,,MH,callertunes with unlimited song change~~no service validity,,,,,,,,,,,,,,,,,11.9,,,Callertunes With Unlimited Song Change on Vi App at Rs. 78 for 89 days. Benefits will be active within 2 hours post recharge.,66.1,89.0,0.8764044943820225
1,,false,40,,Combo 01,,,,,,,,,1,ETOPUP,1 On-net Night Min &  75 paisa Talktime for 1 day. No service validity. No outgoing SMS.,,MH_0014_1_MH_0014_01,,,,1,Talktime,1 On-net Night Min & ₹0.75 Talktime for 1 day. No service validity. No outgoing SMS.,1 Day,,,Y,,,Y,,0,,combo,,,VAS,Y,,,,1,1 Local Onnet Night Minutes,,,0,0.75,,,,,Voice,,,Y,MH_0014_01,SUCCESS,,,,,,,local+STD,,,1 On-net Night Min & ₹0.75 Talktime for 1 day. No service validity. No outgoing SMS.,N,,,1,,,,,MH,₹0.75 Talktime~~No service validity,,,,,,,,No Outgoing SMS,,,,₹ 0.75,Talktime,0,,,0.15,voice+internet,,1 On-net Night Min &  75 paisa Talktime for 1 day. No service validity. No outgoing SMS.,0.85,1.0,1.0
47,,FALSE,1,,Unlimited Callertunes,,,,,,,,,1,ETOPUP,Callertunes With Unlimited Song Change on Vi App at Rs. 47 for 28 days. Benefits will be active within 2 hours post recharge.,,MH_0014_47_MH_0014_47,Voice,,,47,,Callertunes With Unlimited Song Change on Vi App at Rs. 47 for 28 days. Benefits will be active within 2 hours post recharge.,28 Days,,Others,Y,,,Y,,0,,,,,VAS,Y,,,,1,Caller Tunes,,,0,0,,,,N#N,Voice,,,Y,MH_0014_47,SUCCESS,,,,,,,,,,Callertunes With Unlimited Song Change on Vi App at Rs. 47 for 28 days,N,,,28,,,,,MH,callertunes with unlimited song change~~no service validity,,,,,,,,,,,,,,,,,7.17,,,Callertunes With Unlimited Song Change on Vi App at Rs. 47 for 28 days. Benefits will be active within 2 hours post recharge.,39.83,28.0,1.6785714285714286
69,,false,13,,Data 3GB,,,,,,,,3072,1,ETOPUP,"3GB Data, Pack Validity for 28 days ; No Service Validity",,MH_0014_69_MH_0014_69,,,,69,Data,,28 Days,Internet pack,,Y,,,Y,,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_69,SUCCESS,,,,,3GB,,,,,ADD-ON Data pack- 3GB for 28 Days. NO Service Validity.,N,,,28,,,4G,,MH,Data Pack~~no service validity~~no outgoing SMS,,,,,,,,,,,,,,,,,10.53,,,"3GB Data, Pack Validity for 28 days ; No Service Validity",58.47,28.0,2.4642857142857144
1189,,false,17,,Data 50GB,,,,,,,,51200,1,ETOPUP,50GB Data; Pack validity for 365 days; No service validity,,MH_0014_1189_MH_0014_1189,,,,1189,Data,,365 Days,Internet pack,,Y,,,Y,,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_1189,SUCCESS,,,,,50GB,,,,,NO Service Validity. A pack offering service validity needs to be active to use benefits of this pack. You can recharge with this pack and get the same benefits of the earlier Rs. 999 pack,N,,,365,,,4G,,MH,no service validity~~no outgoing SMS,,,,,,,,,,,,,,,,,181.37,,,50GB Data; Pack validity for 365 days; No service validity,1007.63,365.0,3.2575342465753425
104,,FALSE,2,,Cloud Gaming,,,,,Play premium and best mobile games without any downloads or ads. Pack is valid for 30 days with no service validity.,,,,1,ETOPUP,Play premium mobile games. No ads or downloads.Pack is valid for 30 days. No service validity.Please visit the cloud play website 5 minutes after successful purchase. https-//cloudplay.myvi.in,,MH_0014_104_MH_0014_104,,,,104,,Play premium and best mobile games without any downloads or ads. Pack is valid for 30 days with no service validity.,30 Days,,,Y,,,Y,,0,,,,,VAS,Y,,,,1,Unlimited Gaming,,,0,0,,,,N#N,Voice,,,Y,MH_0014_104,SUCCESS,,,,,,,,,,Play premium and best mobile games without any downloads or ads.Pack is valid for 30 days with no service validityAfter 5 minutes post succesful purchase of this recharge pack please access https-//cloudplay.myvi.in,N,,,30,,,,,MH,"Enjoy premium games like Asphalt9, Hitman and more~~no service validity",,,,,,,,,,,,,,,,,15.86,,,Play premium mobile games. No ads or downloads.Pack is valid for 30 days. No service validity.Please visit the cloud play website 5 minutes after successful purchase. https-//cloudplay.myvi.in,88.14,30.0,3.466666666666667
139,,false,8,,Data 12GB,,,,,,,,12288,1,ETOPUP,ADD-ON Data pack- 12 GB Data for 28 days. NO Service Validity. No Outgoing SMS.,,MH_0014_139_MH_0014_139,,,,139,Data,,28 Days,Internet pack,,Y,,,Y,,0,,,,,Data,Y,,,,1,,,,,0,,,,N#N,Internet,,,Y,MH_0014_139,SUCCESS,,,,,12GB,,,,,ADD-ON Data pack- 12 GB Data for 28 days. NO Service Validity. No Outgoing SMS. You can recharge with this plan and get the same benefits of the earlier Rs. 118 pack.,N,,,28,,,4G,,MH,Data Pack~~no service validity~~no outgoing SMS,,,,,,,,No Outgoing SMS,,,,,,,,,21.20,,,ADD-ON Data pack- 12 GB Data for 28 days. NO Service Validity. No Outgoing SMS.,117.80,28.0,4.964285714285714
151,,FALSE,10,,151,3 months of Disney+ Hotstar subscription,,,,,,,4096,1,ETOPUP,ADD-ON Data pack- 4GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,,MH_0014_151_MH_0014_151,,,,151,Data,ADD-ON Data pack- 4GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,30 days,Internet pack,,Y,,2,Y,Premium Pack - Includes Hotstar,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_151,SUCCESS,,,,,4GB,,,,,ADD-ON Data pack- 4GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,N,,,30,,,4G,,MH,3 months of Disney + Hotstar mobile~~no service validity#Premium Pack - Includes Hotstar,,,,,,,,,,,,,,,,,23.3,,,ADD-ON Data pack- 4GB for 30 Days & Disney+ Hotstar Mobile subscription for 3 months. NO Service Validity.,127.97,30.0,5.033333333333333
145,,false,4,,Data 1GB/Day,,,,,,,,28672,1,ETOPUP,ADD-ON Data pack- 1GB/day for 28 Days. NO Service Validity.,,MH_0014_145_MH_0014_145,,,,145,Data,ADD-ON Data pack- 1GB/day for 28 Days. NO Service Validity.,28 Days,Internet pack,,Y,,,Y,,0,,,,,Data,Y,,,,1,,,,0,0,,,,N#N,Internet,,,Y,MH_0014_145,SUCCESS,,,,,1GB/Day,,,,,ADD-ON Data pack. 1GB/day for 28 Days. NO Service Validity.,N,,,28,,,4G,,MH,Data Pack~~no service validity,,,,,,,,,,,,,,,,,22.12,,,ADD-ON Data pack- 1GB/day for 28 Days. NO Service Validity.,122.88,28.0,5.178571428571429
1999,,false,4,,Unlimited Calls + Data,,,,,,,,24576,1,ETOPUP,Get Unlimited Calls + 24GB Data + 3600 SMS. Pack Validity - 365 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be   Re 1 local  Re 1.5 STD per SMS.,,MH_0014_1999_MH_0014_1999,,,,1999,Talktime,"Post daily quota usage, data will be charged at 50 p/MB & SMS charging will be Re 1 local & Re 1.5 national per SMS",365 Days,Bonus card,,Y,,,Y,,0,,combo,,,Truly Unlimited,Y,,Calls,,1,Truly Unlimited,,,365 Days,0,,,,N#N,Unlimited,Unlimited_FD,,Y,MH_0014_1999,SUCCESS,,,,,24GB,,local+STD,,,Truly Unlimited Local & National Calls + 3600 SMS. You can recharge with this plan and get the same benefits of the earlier Rs. 1799 plan,Y,,,365,,,,POWERHOUR,MH,truly unlimited calls,,,,,,,,3600 SMS,,,,,,,,,304.93,voice+internet,,Get Unlimited Calls + 24GB Data + 3600 SMS. Pack Validity - 365 Days. Data tariff post quota completion will be charged at 50p/MB. Post SMS quota charging will be   Re 1 local  Re 1.5 STD per SMS.,1694.07,365.0,5.476712328767123
